"primary_spa_name","primary_spa_city","competitor_rank","competitor_name","competitor_review_count","competitor_star_rating","competitor_distance_miles","competitor_gbp_url"
"It's A Secret Med Spa","Fort Worth","3","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","1.28","https://www.google.com/maps/search/?api=1&query=Hanami%20Medspa%3A%20Elaine%20Phuah%2C%20DO%2C%20MBA%2C%20FACOI&query_place_id=ChIJh6xb-nJxToYRl0sDgOMiOcw"
"Aesteem Aesthetics","Dallas","1","UPKEEP Med Spa","887","4.9","2.08","https://www.google.com/maps/search/?api=1&query=UPKEEP%20Med%20Spa&query_place_id=ChIJAR_dnRWfToYR5ElZ5LxdzTg"
"Aesteem Aesthetics","Dallas","2","Aurum Health","244","4.9","2.27","https://www.google.com/maps/search/?api=1&query=Aurum%20Health&query_place_id=ChIJD8LET6GZToYRSleYd2kkdPw"
"Aesteem Aesthetics","Dallas","3","AYA Medical Spa Dallas - University Park","139","5.0","1.02","https://www.google.com/maps/search/?api=1&query=AYA%20Medical%20Spa%20Dallas%20-%20University%20Park&query_place_id=ChIJo_L80uifToYRmY82xz8pKrg"
"The Retreat Medical Spa","Fort Worth","1","Fort Worth Plastic Surgery","1067","4.9","0.74","https://www.google.com/maps/search/?api=1&query=Fort%20Worth%20Plastic%20Surgery&query_place_id=ChIJN_KWUnxxToYRHRG-7_D-ta0"
"The Retreat Medical Spa","Fort Worth","2","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","0.52","https://www.google.com/maps/search/?api=1&query=Hanami%20Medspa%3A%20Elaine%20Phuah%2C%20DO%2C%20MBA%2C%20FACOI&query_place_id=ChIJh6xb-nJxToYRl0sDgOMiOcw"
"The Retreat Medical Spa","Fort Worth","3","Youthful Magnolia","145","5.0","0.31","https://www.google.com/maps/search/?api=1&query=Youthful%20Magnolia&query_place_id=ChIJKfBVkXVxToYRQoOEfRo5a2Q"
"Sanjiva Medical Spa","Dallas","1","Well Labs+ Medspa Dallas","359","4.9","0.49","https://www.google.com/maps/search/?api=1&query=Well%20Labs%2B%20Medspa%20Dallas&query_place_id=ChIJjxoGJHyeToYR6Yq2dQEElwI"
"Sanjiva Medical Spa","Dallas","2","CULT Aesthetics","352","4.9","2.22","https://www.google.com/maps/search/?api=1&query=CULT%20Aesthetics&query_place_id=ChIJFX32ikGZToYRsMJi8wiyMQo"
"Sanjiva Medical Spa","Dallas","3","Total Med Solutions","343","4.8","1.63","https://www.google.com/maps/search/?api=1&query=Total%20Med%20Solutions&query_place_id=ChIJqacCkQWfToYR4EUy8H6hEBk"
"Kalos Medical Spa at Kirby Plastic Surgery","Fort Worth","1","Beverly Hills Rejuvenation Center","198","4.7","1.55","https://www.google.com/maps/search/?api=1&query=Beverly%20Hills%20Rejuvenation%20Center&query_place_id=ChIJq19dokZzToYRhpLzfU31xSs"
"Kalos Medical Spa at Kirby Plastic Surgery","Fort Worth","2","OrangeTwist","120","4.8","1.18","https://www.google.com/maps/search/?api=1&query=OrangeTwist&query_place_id=ChIJhYMt6q1zToYRNp11544wayE"
"Kalos Medical Spa at Kirby Plastic Surgery","Fort Worth","3","InjectCo MedSpa Fort Worth","100","5.0","1.46","https://www.google.com/maps/search/?api=1&query=InjectCo%20MedSpa%20Fort%20Worth&query_place_id=ChIJY52k0mpzToYR9XV5Bfj-quM"
"Youthful Magnolia","Fort Worth","1","Fort Worth Plastic Surgery","1067","4.9","0.52","https://www.google.com/maps/search/?api=1&query=Fort%20Worth%20Plastic%20Surgery&query_place_id=ChIJN_KWUnxxToYRHRG-7_D-ta0"
"Youthful Magnolia","Fort Worth","2","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","0.41","https://www.google.com/maps/search/?api=1&query=Hanami%20Medspa%3A%20Elaine%20Phuah%2C%20DO%2C%20MBA%2C%20FACOI&query_place_id=ChIJh6xb-nJxToYRl0sDgOMiOcw"
"Youthful Magnolia","Fort Worth","3","The Retreat Medical Spa","73","4.9","0.31","https://www.google.com/maps/search/?api=1&query=The%20Retreat%20Medical%20Spa&query_place_id=ChIJ94-PS3ZxToYRedfv9s5S-BU"
"Heyday Skincare Seaport","Boston","1","Skin Spa New York - Back Bay","381","4.8","1.92","https://www.google.com/maps/search/?api=1&query=Skin%20Spa%20New%20York%20-%20Back%20Bay&query_place_id=ChIJo9Y9lw9644kRR5soqeEBYyk"
"Heyday Skincare Seaport","Boston","2","Skin Spa New York North Station","231","4.9","1.05","https://www.google.com/maps/search/?api=1&query=Skin%20Spa%20New%20York%20North%20Station&query_place_id=ChIJt9-1WaNx44kRW_oKLlcxNv4"
